House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group
131,Dennis Corners,Ben,Lord,15,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
132,Dennis Corners,Nathan,Williams,56,Head,Single,Male,Chartered public finance accountant,Not Specified,Christian,"(50, 60]"
133,Dennis Corners,Heather,Holland,30,Head,Single,Female,Research scientist (physical sciences),Not Specified,Not Specified,"(17, 30]"
133,Dennis Corners,Danny,Sharp,30,Not Specified,Divorced,Male,Automotive engineer,Not Specified,Not Specified,"(17, 30]"
133,Dennis Corners,Marcus,Morris,58,Not Specified,Single,Male,Operational researcher,Not Specified,Catholic,"(50, 60]"
133,Dennis Corners,Lesley,Robinson,47,Not Specified,Single,Female,Television floor manager,Not Specified,Not Specified,"(40, 50]"
134,Dennis Corners,Lynn,Taylor,58,Head,Single,Female,Race relations officer,Not Specified,Methodist,"(50, 60]"
134,Dennis Corners,Christian,Day,36,Not Specified,Single,Male,Ambulance person,Not Specified,Catholic,"(30, 40]"
134,Dennis Corners,Hilary,Patel,35,Not Specified,Single,Female,Cartographer,Not Specified,Not Specified,"(30, 40]"
135,Dennis Corners,Lesley,Booth,22,Head,Single,Female,University Student,Not Specified,Not Specified,"(17, 30]"
135,Dennis Corners,Matthew,Jones,19,Not Specified,Single,Male,University Student,Not Specified,Christian,"(17, 30]"
135,Dennis Corners,Max,Davies,22,Not Specified,Single,Male,University Student,Not Specified,Not Specified,"(17, 30]"
135,Dennis Corners,Jamie,Saunders,20,Not Specified,Single,Male,University Student,Not Specified,Muslim,"(17, 30]"
136,Dennis Corners,Lynda,Schofield,59,Head,Married,Female,"Buyer, retail",Not Specified,Catholic,"(50, 60]"
136,Dennis Corners,Marcus,Schofield,58,Husband,Married,Male,Haematologist,Not Specified,Not Specified,"(50, 60]"
136,Dennis Corners,Naomi,Schofield,33,Daughter,Divorced,Female,Colour technologist,Not Specified,Catholic,"(30, 40]"
136,Dennis Corners,Deborah,Schofield,29,Daughter,Single,Female,Financial manager,Not Specified,Catholic,"(17, 30]"
136,Dennis Corners,Kerry,Schofield,13,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
137,Dennis Corners,Catherine,Francis,38,Head,Divorced,Female,Counselling psychologist,Not Specified,Methodist,"(30, 40]"
137,Dennis Corners,Albert,Francis,12,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
137,Dennis Corners,Annette,Francis,7,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
138,Dennis Corners,Donna,Clark,59,Head,Married,Female,Unemployed,Not Specified,Christian,"(50, 60]"
138,Dennis Corners,Callum,Clark,60,Husband,Married,Male,Passenger transport manager,Not Specified,Christian,"(50, 60]"
138,Dennis Corners,Richard,Clark,26,Son,Single,Male,Tax adviser,Not Specified,Christian,"(17, 30]"
139,Dennis Corners,Joanne,Butler,23,Head,Married,Female,Market researcher,Not Specified,Methodist,"(17, 30]"
139,Dennis Corners,Allan,Butler,32,Husband,Married,Male,"Surveyor, rural practice",Not Specified,Not Specified,"(30, 40]"
139,Dennis Corners,Patrick,Butler,7,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
140,Dennis Corners,Danny,Gill,53,Head,Single,Male,Unemployed,Not Specified,Christian,"(50, 60]"
140,Dennis Corners,Owen,White-Gill,22,Son,Divorced,Male,Geographical information systems officer,Not Specified,Christian,"(17, 30]"
140,Dennis Corners,Sara,White-Gill,19,Daughter,Single,Female,University Student,Not Specified,Christian,"(17, 30]"
141,Dennis Corners,Ruth,Cameron,43,Head,Married,Female,Call centre manager,Not Specified,Catholic,"(40, 50]"
141,Dennis Corners,Lee,Cameron,46,Husband,Married,Male,"Editor, magazine features",Not Specified,Not Specified,"(40, 50]"
141,Dennis Corners,Martyn,Jones-Cameron,17,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
142,Dennis Corners,Sian,Barton,49,Head,Single,Female,Minerals surveyor,Not Specified,Catholic,"(40, 50]"
142,Dennis Corners,Bradley,Moore,51,Partner,Single,Male,"Investment banker, operational",Not Specified,Catholic,"(50, 60]"
142,Dennis Corners,Maurice,Barton,8,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
143,Dennis Corners,Rebecca,Pritchard,47,Head,Single,Female,Information officer,Not Specified,Methodist,"(40, 50]"
143,Dennis Corners,Lorraine,Pritchard,9,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
143,Dennis Corners,Garry,Pritchard,5,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
144,Dennis Corners,Helen,Wright,46,Head,Single,Female,International aid/development worker,Not Specified,Not Specified,"(40, 50]"
144,Dennis Corners,Charlotte,Wright,15,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
144,Dennis Corners,Vincent,Wright,13,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
145,Dennis Corners,Amber,Lewis,39,Head,Single,Female,Armed forces technical officer,Not Specified,Not Specified,"(30, 40]"
146,Dennis Corners,Gillian,Brennan,63,Head,Married,Female,Orthoptist,Not Specified,Christian,"(60, 70]"
146,Dennis Corners,Tom,Brennan,65,Husband,Married,Male,IT technical support officer,Not Specified,Christian,"(60, 70]"
146,Dennis Corners,Patricia,Brennan,34,Daughter,Divorced,Female,"Radiographer, therapeutic",Not Specified,Not Specified,"(30, 40]"
146,Dennis Corners,Kimberley,Brennan,33,Daughter,Single,Female,Television floor manager,Not Specified,Christian,"(30, 40]"
147,Dennis Corners,Bethany,Mills,41,Head,Divorced,Female,Unemployed,Not Specified,Not Specified,"(40, 50]"
147,Dennis Corners,Daniel,Mills,20,Son,Divorced,Male,University Student,Not Specified,Not Specified,"(17, 30]"
147,Dennis Corners,Richard,Mills,17,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
148,Dennis Corners,Gillian,Baker,41,Head,Married,Female,Unemployed,Not Specified,Catholic,"(40, 50]"
148,Dennis Corners,Abdul,Baker,43,Husband,Married,Male,"Clinical scientist, histocompatibility and immunogenetics",Not Specified,Catholic,"(40, 50]"
149,Dennis Corners,Leon,Hussain,19,Head,Single,Male,Energy engineer,Not Specified,Muslim,"(17, 30]"
150,Dennis Corners,Frank,Johnson,54,Head,Single,Male,"Programme researcher, broadcasting/film/video",Not Specified,Christian,"(50, 60]"
150,Dennis Corners,Rita,Gray,63,Not Specified,Single,Female,"Teacher, adult education",Not Specified,Christian,"(60, 70]"
150,Dennis Corners,Garry,Lambert,42,Not Specified,Single,Male,"Designer, television/film set",Not Specified,Not Specified,"(40, 50]"
150,Dennis Corners,Jodie,Poole,42,Not Specified,Single,Female,Chartered legal executive (England and Wales),Not Specified,Not Specified,"(40, 50]"
150,Dennis Corners,Stephen,Stokes,40,Not Specified,Single,Male,Software engineer,Not Specified,Christian,"(30, 40]"
151,Dennis Corners,Louis,Taylor,67,Head,Married,Male,"Psychotherapist, dance movement",Not Specified,Christian,"(60, 70]"
151,Dennis Corners,Harriet,Taylor,66,Wife,Married,Female,Archaeologist,Not Specified,Christian,"(60, 70]"
151,Dennis Corners,Michelle,Baker,10,Granddaughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
151,Dennis Corners,Michael,Baker,9,Grandson,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
152,Dennis Corners,Kieran,Jackson,36,Head,Single,Male,Unemployed,Not Specified,Catholic,"(30, 40]"
152,Dennis Corners,Simon,Jackson,12,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
152,Dennis Corners,Kyle,Jackson,9,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
153,Dennis Corners,Amy,Gibson,43,Head,Married,Female,Petroleum engineer,Not Specified,Catholic,"(40, 50]"
153,Dennis Corners,Ben,Gibson,44,Husband,Married,Male,Early years teacher,Not Specified,Catholic,"(40, 50]"
153,Dennis Corners,Joseph,Gibson,11,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
154,Dennis Corners,Annette,McCarthy,34,Head,Married,Female,Financial risk analyst,Not Specified,Christian,"(30, 40]"
154,Dennis Corners,Mohammad,McCarthy,38,Husband,Married,Male,Commercial horticulturist,Not Specified,Not Specified,"(30, 40]"
154,Dennis Corners,Paul,McCarthy,1,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
154,Dennis Corners,Amy,Fletcher,27,Lodger,Divorced,Female,"Social research officer, government",Not Specified,Catholic,"(17, 30]"
154,Dennis Corners,Lynda,Richards,53,Lodger,Single,Female,Printmaker,Not Specified,Christian,"(50, 60]"
155,Dennis Corners,Roger,Green,23,Head,Single,Male,Press photographer,Not Specified,Christian,"(17, 30]"
155,Dennis Corners,Tracey,Hall,28,Not Specified,Single,Female,Physiological scientist,Not Specified,Christian,"(17, 30]"
155,Dennis Corners,Kenneth,Davis,64,Not Specified,Single,Male,Social researcher,Not Specified,Not Specified,"(60, 70]"
155,Dennis Corners,Harriet,Waters,19,Not Specified,Single,Female,University Student,Not Specified,Catholic,"(17, 30]"
156,Dennis Corners,Lindsey,Fry,31,Head,Married,Female,"Education officer, environmental",Not Specified,Not Specified,"(30, 40]"
156,Dennis Corners,Gregory,Fry,33,Husband,Married,Male,Special educational needs teacher,Not Specified,Not Specified,"(30, 40]"
156,Dennis Corners,Christopher,Fry,11,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
156,Dennis Corners,Louise,Fry,8,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
157,Dennis Corners,Ryan,Turner,56,Head,Married,Male,"Engineer, electrical",Not Specified,Not Specified,"(50, 60]"
157,Dennis Corners,Lynn,Turner,52,Wife,Married,Female,Academic librarian,Not Specified,Not Specified,"(50, 60]"
157,Dennis Corners,Clifford,Turner,21,Son,Single,Male,University Student,Not Specified,Not Specified,"(17, 30]"
158,Dennis Corners,Michelle,Owen,61,Head,Married,Female,Nature conservation officer,Not Specified,Christian,"(60, 70]"
158,Dennis Corners,Dennis,Owen,62,Husband,Married,Male,Occupational therapist,Not Specified,Christian,"(60, 70]"
158,Dennis Corners,Stuart,Owen,30,Son,Single,Male,Unemployed,Not Specified,Christian,"(17, 30]"
158,Dennis Corners,William,Owen,27,Son,Single,Male,Clinical molecular geneticist,Not Specified,Christian,"(17, 30]"
159,Dennis Corners,Marilyn,Hughes,58,Head,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",Not Specified,Not Specified,"(50, 60]"
159,Dennis Corners,Frances,Hughes,27,Daughter,Divorced,Female,Unemployed,Not Specified,Not Specified,"(17, 30]"
159,Dennis Corners,Georgia,Hughes,27,Daughter,Single,Female,"Designer, furniture",Not Specified,Not Specified,"(17, 30]"
160,Dennis Corners,Lynne,Williams,54,Head,Single,Female,Sales promotion account executive,Not Specified,Not Specified,"(50, 60]"
160,Dennis Corners,Angela,Taylor,42,Not Specified,Single,Female,Operations geologist,Not Specified,Catholic,"(40, 50]"
160,Dennis Corners,Alice,Clark,29,Not Specified,Single,Female,Scientific laboratory technician,Not Specified,Catholic,"(17, 30]"
161,Dennis Corners,Alexandra,Davies,53,Head,Single,Female,Unemployed,Not Specified,Jewish,"(50, 60]"
161,Dennis Corners,Matthew,Davies,15,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
161,Dennis Corners,Bethany,Davies,13,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
162,Dennis Corners,Maria,Pearce,48,Head,Widowed,Female,Tour manager,Not Specified,Not Specified,"(40, 50]"
162,Dennis Corners,Clare,Fuller,56,Cousin,Single,Female,"Engineer, manufacturing",Not Specified,Not Specified,"(50, 60]"
162,Dennis Corners,Reece,Haynes,62,Cousin,Single,Male,"Physicist, medical",Not Specified,Not Specified,"(60, 70]"
162,Dennis Corners,Garry,Haynes,46,Cousin,Single,Male,Electronics engineer,Not Specified,Not Specified,"(40, 50]"
163,Dennis Corners,Eileen,Metcalfe,49,Head,Divorced,Female,Unemployed,Not Specified,Methodist,"(40, 50]"
163,Dennis Corners,Brett,Metcalfe,13,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
163,Dennis Corners,Craig,Metcalfe,11,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
163,Dennis Corners,Ryan,Blackburn,9,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
164,Dennis Corners,Bradley,Thomas,22,Head,Single,Male,University Student,Not Specified,Not Specified,"(17, 30]"
165,Dennis Corners,Nicholas,Cooper,46,Head,Single,Male,Retail buyer,Not Specified,Catholic,"(40, 50]"
165,Dennis Corners,Billy,Cooper,13,Step-Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
166,Dennis Corners,Robert,Hill,33,Head,Single,Male,"Scientist, research (physical sciences)",Not Specified,Methodist,"(30, 40]"
166,Dennis Corners,Timothy,Brown,34,Not Specified,Divorced,Male,Music tutor,Not Specified,Not Specified,"(30, 40]"
166,Dennis Corners,Clifford,Owen,38,Not Specified,Single,Male,Clinical molecular geneticist,Not Specified,Catholic,"(30, 40]"
167,Dennis Corners,Emma,Lewis,22,Head,Married,Female,University Student,Not Specified,Catholic,"(17, 30]"
167,Dennis Corners,Norman,Lewis,25,Husband,Married,Male,Hotel manager,Not Specified,Not Specified,"(17, 30]"
168,Dennis Corners,Kathryn,Johnson,19,Head,Single,Female,University Student,Not Specified,Catholic,"(17, 30]"
168,Dennis Corners,Duncan,Walker,26,Partner,Single,Male,Sales executive,Not Specified,Catholic,"(17, 30]"
169,Dennis Corners,Geoffrey,White,30,Head,Divorced,Male,Commercial/residential surveyor,Not Specified,Not Specified,"(17, 30]"
169,Dennis Corners,Donna,Walker,39,Lodger,Single,Female,"Engineer, land",Not Specified,Catholic,"(30, 40]"
169,Dennis Corners,Harry,Fitzgerald,32,Lodger,Divorced,Male,Translator,Not Specified,Not Specified,"(30, 40]"
169,Dennis Corners,Glenn,Gill,25,Lodger,Divorced,Male,"Scientist, water quality",Not Specified,Methodist,"(17, 30]"
170,Dennis Corners,Thomas,Davis,85,Head,Divorced,Male,Retired Air cabin crew,Not Specified,Christian,"(80, 90]"
171,Dennis Corners,Tina,Morris,57,Head,Divorced,Female,Financial risk analyst,Not Specified,Christian,"(50, 60]"
171,Dennis Corners,Owen,Morris,25,Son,Single,Male,"Buyer, retail",Not Specified,Not Specified,"(17, 30]"
171,Dennis Corners,Kelly,Morris,21,Daughter,Single,Female,University Student,Not Specified,Christian,"(17, 30]"
171,Dennis Corners,Geoffrey,Morris,18,Son,Single,Male,Student,Not Specified,Christian,"(17, 30]"
172,Dennis Corners,Leslie,Bray,39,Head,Single,Male,IT consultant,Not Specified,Catholic,"(30, 40]"
172,Dennis Corners,Eileen,Thorpe,37,Partner,Single,Female,Manufacturing engineer,Not Specified,Catholic,"(30, 40]"
172,Dennis Corners,Shirley,Butcher-Bray,8,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
172,Dennis Corners,Janice,Butcher-Bray,6,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
172,Dennis Corners,Sally,Khan,4,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
173,Dennis Corners,Natalie,Goodwin,18,Head,Single,Female,University Student,Not Specified,Bahai,"(17, 30]"
173,Dennis Corners,Stephen,Skinner,30,Not Specified,Single,Male,PhD Student,Not Specified,Not Specified,"(17, 30]"
173,Dennis Corners,Francis,Mitchell,19,Not Specified,Single,Male,University Student,Not Specified,Muslim,"(17, 30]"
174,Dennis Corners,Duncan,Rahman,36,Head,Single,Male,Exhibition designer,Not Specified,Methodist,"(30, 40]"
174,Dennis Corners,Sam,Rahman,8,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
174,Dennis Corners,Gerald,Rahman,3,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
175,Dennis Corners,Lesley,Burgess,33,Head,Married,Female,Ambulance person,Not Specified,Not Specified,"(30, 40]"
175,Dennis Corners,Ian,Burgess,34,Husband,Married,Male,Engineering geologist,Not Specified,Not Specified,"(30, 40]"
175,Dennis Corners,Kieran,Burgess,5,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
175,Dennis Corners,Kelly,Burgess,1,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
176,Dennis Corners,Jonathan,Riley,20,Head,Single,Male,University Student,Not Specified,Not Specified,"(17, 30]"
176,Dennis Corners,Roy,Taylor,20,Not Specified,Single,Male,University Student,Not Specified,Not Specified,"(17, 30]"
176,Dennis Corners,Lewis,Mitchell,28,Not Specified,Single,Male,Unemployed,Not Specified,Not Specified,"(17, 30]"
177,Dennis Corners,Pamela,Morris,61,Head,Married,Female,Environmental health practitioner,Not Specified,Not Specified,"(60, 70]"
177,Dennis Corners,Jamie,Williams,64,Husband,Married,Male,Actor,Not Specified,Not Specified,"(60, 70]"
177,Dennis Corners,Paige,Jones-Morris,24,Daughter,Divorced,Female,"Horticulturist, commercial",Not Specified,Not Specified,"(17, 30]"
177,Dennis Corners,Joel,Jones-Morris,20,Son,Divorced,Male,University Student,Not Specified,Not Specified,"(17, 30]"
178,Dennis Corners,Lauren,Reid,29,Head,Single,Female,Unemployed,Not Specified,Not Specified,"(17, 30]"
178,Dennis Corners,Sophie,Reid,7,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
178,Dennis Corners,Kerry,Reid,4,Adopted Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
179,Dennis Corners,Helen,Watts,40,Head,Single,Female,TEFL teacher,Not Specified,Not Specified,"(30, 40]"
179,Dennis Corners,Teresa,Davies,6,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
179,Dennis Corners,Terence,Davies,2,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
180,Dennis Corners,Geoffrey,Taylor,66,Head,Widowed,Male,"Designer, jewellery",Not Specified,Christian,"(60, 70]"
180,Dennis Corners,Eleanor,Taylor,1,Granddaughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
181,Dennis Corners,Dawn,Williams,43,Head,Married,Female,Pathologist,Not Specified,Methodist,"(40, 50]"
181,Dennis Corners,Adrian,Thomas,52,Husband,Married,Male,"Designer, interior/spatial",Not Specified,Methodist,"(50, 60]"
181,Dennis Corners,Gillian,Williams,13,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
181,Dennis Corners,Max,Williams,9,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
182,Dennis Corners,Rosie,O'Brien,33,Head,Married,Female,Sub,Not Specified,Not Specified,"(30, 40]"
182,Dennis Corners,Antony,O'Brien,32,Husband,Married,Male,Solicitor,Not Specified,Not Specified,"(30, 40]"
182,Dennis Corners,Lorraine,O'Brien,3,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
182,Dennis Corners,David,O'Brien,1,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
183,Dennis Corners,Eileen,Hill,46,Head,Married,Female,"Therapist, nutritional",Not Specified,Not Specified,"(40, 50]"
183,Dennis Corners,Bradley,Hill,48,Husband,Married,Male,"Surveyor, mining",Not Specified,Not Specified,"(40, 50]"
183,Dennis Corners,Mandy,Hill,14,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
183,Dennis Corners,Scott,Hill,13,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
184,Dennis Corners,Stewart,Lord,22,Head,Married,Male,University Student,Not Specified,Not Specified,"(17, 30]"
184,Dennis Corners,Kelly,Lord,20,Wife,Married,Female,University Student,Not Specified,Not Specified,"(17, 30]"
184,Dennis Corners,Charlie,Holmes,40,Sibling,Divorced,Male,"Administrator, local government",Not Specified,Methodist,"(30, 40]"
185,Dennis Corners,Catherine,Richards,33,Head,Married,Female,Set designer,Not Specified,Christian,"(30, 40]"
185,Dennis Corners,Adam,Richards,36,Husband,Married,Male,Petroleum engineer,Not Specified,Christian,"(30, 40]"
185,Dennis Corners,Gemma,Richards,13,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
186,Dennis Corners,Annette,Clark,54,Head,Married,Female,Aeronautical engineer,Not Specified,Christian,"(50, 60]"
186,Dennis Corners,Carl,Clark,65,Husband,Married,Male,Heritage manager,Not Specified,Christian,"(60, 70]"
186,Dennis Corners,Damien,Clark,11,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
187,Dennis Corners,Neil,White,66,Head,Widowed,Male,Patent attorney,Not Specified,Methodist,"(60, 70]"
187,Dennis Corners,June,White,40,Daughter,Single,Female,Careers information officer,Not Specified,Methodist,"(30, 40]"
187,Dennis Corners,Olivia,White,39,Daughter,Single,Female,Aeronautical engineer,Not Specified,Methodist,"(30, 40]"
187,Dennis Corners,Carolyn,White,36,Daughter,Single,Female,Unemployed,Not Specified,Methodist,"(30, 40]"
187,Dennis Corners,Bethan,White,30,Daughter,Divorced,Female,"Lecturer, further education",Not Specified,Methodist,"(17, 30]"
188,Dennis Corners,Shirley,Rice,44,Head,Married,Female,"Research officer, government",Not Specified,Catholic,"(40, 50]"
188,Dennis Corners,Stanley,Rice,43,Husband,Married,Male,Physiotherapist,Not Specified,Not Specified,"(40, 50]"
188,Dennis Corners,Reece,Rice,10,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
189,Dennis Corners,Lauren,Fleming,41,Head,Married,Female,Unemployed,Not Specified,Catholic,"(40, 50]"
189,Dennis Corners,Brian,Fleming,39,Husband,Married,Male,Insurance underwriter,Not Specified,Catholic,"(30, 40]"
189,Dennis Corners,Catherine,Fleming,5,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
190,Dennis Corners,Emma,Taylor,56,Head,Married,Female,Education administrator,Not Specified,Christian,"(50, 60]"
190,Dennis Corners,Kyle,Taylor,58,Husband,Married,Male,Multimedia programmer,Not Specified,Christian,"(50, 60]"
190,Dennis Corners,Samuel,Taylor,17,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
191,Dennis Corners,Nicole,Williams,43,Head,Single,Female,Research scientist (life sciences),Not Specified,Catholic,"(40, 50]"
191,Dennis Corners,Lynn,Williams,8,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
191,Dennis Corners,Yvonne,Williams,7,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
192,Dennis Corners,Ann,Hammond,34,Head,Single,Female,Water quality scientist,Not Specified,Methodist,"(30, 40]"
192,Dennis Corners,Mohammad,Rahman,52,Not Specified,Single,Male,Ranger/warden,Not Specified,Not Specified,"(50, 60]"
193,Dennis Corners,Linda,Norris,33,Head,Single,Female,Unemployed,Not Specified,Jewish,"(30, 40]"
193,Dennis Corners,Leonard,Norris,6,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
193,Dennis Corners,Liam,Ross-Norris,3,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
193,Dennis Corners,Lindsey,Ross-Norris,2,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
194,Dennis Corners,Gerard,Barnett,23,Head,Single,Male,Unemployed,Not Specified,Christian,"(17, 30]"
194,Dennis Corners,Marion,Chadwick,23,Not Specified,Single,Female,Geophysicist/field seismologist,Not Specified,Not Specified,"(17, 30]"
194,Dennis Corners,Karl,Williams,24,Not Specified,Single,Male,"Programmer, applications",Not Specified,Catholic,"(17, 30]"
194,Dennis Corners,Heather,Davey,28,Not Specified,Single,Female,Historic buildings inspector/conservation officer,Not Specified,Christian,"(17, 30]"
194,Dennis Corners,Neil,Poole,39,Not Specified,Single,Male,"Conservation officer, nature",Not Specified,Christian,"(30, 40]"
195,Dennis Corners,Martin,Dawson,79,Head,Widowed,Male,Retired Trade mark attorney,Not Specified,Christian,"(70, 80]"
196,Dennis Corners,Jean,Hawkins,59,Head,Single,Female,Multimedia specialist,Not Specified,Christian,"(50, 60]"
196,Dennis Corners,Vanessa,Young,55,Not Specified,Single,Female,Network engineer,Not Specified,Methodist,"(50, 60]"
197,Dennis Corners,Max,Jennings,57,Head,Married,Male,Risk analyst, ,Christian,"(50, 60]"
197,Dennis Corners,Eleanor,Jennings,55,Wife,Married,Female,"Research officer, government",Not Specified,Not Specified,"(50, 60]"
197,Dennis Corners,Elizabeth,Jennings,25,Daughter,Single,Female,Legal secretary,Not Specified,Christian,"(17, 30]"
197,Dennis Corners,Josephine,Jennings,13,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
198,Dennis Corners,Robin,Blake,44,Head,Divorced,Male,"Horticulturist, commercial",Not Specified,Not Specified,"(40, 50]"
198,Dennis Corners,Leah,Blake,8,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
198,Dennis Corners,Ross,Blake,5,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
199,Dennis Corners,Lauren,Forster,43,Head,Married,Female,Travel agency manager,Not Specified,Not Specified,"(40, 50]"
199,Dennis Corners,Alan,Forster,46,Husband,Married,Male,Multimedia specialist,Not Specified,Not Specified,"(40, 50]"
199,Dennis Corners,Charlene,Forster,14,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
199,Dennis Corners,Terence,Forster,10,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
199,Dennis Corners,Leonard,Forster,9,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
200,Dennis Corners,Marilyn,Kent,18,Head,Single,Female,Student,Not Specified,Not Specified,"(17, 30]"
200,Dennis Corners,Patricia,Jones,58,Not Specified,Single,Female,Unemployed,Not Specified,Christian,"(50, 60]"
200,Dennis Corners,Clare,Lynch,34,Not Specified,Single,Female,Counselling psychologist,Not Specified,Not Specified,"(30, 40]"
200,Dennis Corners,Justin,Dean,47,Not Specified,Single,Male,Radio producer,Not Specified,Catholic,"(40, 50]"
200,Dennis Corners,Damian,Shepherd,47,Not Specified,Single,Male,Exercise physiologist,Not Specified,Methodist,"(40, 50]"
201,Dennis Corners,Abigail,Jones,34,Head,Single,Female,Hydrogeologist,Not Specified,Christian,"(30, 40]"
201,Dennis Corners,Leon,Potter,50,Not Specified,Divorced,Male,Dramatherapist,Not Specified,Christian,"(40, 50]"
201,Dennis Corners,Ellie,Smith,61,Not Specified,Single,Female,"Psychologist, forensic",Not Specified,Not Specified,"(60, 70]"
201,Dennis Corners,Victoria,Clarke,61,Not Specified,Single,Female,Housing manager/officer,Not Specified,Christian,"(60, 70]"
202,Dennis Corners,Mohammad,Butcher,63,Head,Single,Male,Audiological scientist,Not Specified,Not Specified,"(60, 70]"
202,Dennis Corners,Denis,Lee,33,Not Specified,Single,Male,Race relations officer,Not Specified,Not Specified,"(30, 40]"
202,Dennis Corners,Gerald,Smith,35,Not Specified,Single,Male,Special educational needs teacher,Not Specified,Catholic,"(30, 40]"
203,Dennis Corners,Helen,Webster,52,Head,Married,Female,"Psychologist, educational",Not Specified,Christian,"(50, 60]"
203,Dennis Corners,Craig,Webster,50,Husband,Married,Male,"Lecturer, further education",Not Specified,Christian,"(40, 50]"
203,Dennis Corners,Darren,Webster,14,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
