House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
18,Holyrood Causeway,Tom,Harvey,11.0,Grandson,,Male,Student,None,
18,Holyrood Causeway,Gregory,Harvey,7.0,Grandson,,Male,Student,None,
18,Holyrood Causeway,Beth,Harvey,4.0,Granddaughter,,Female,Child,None,
18,Holyrood Causeway,Sandra,Nash,1.0,Granddaughter,,Female,Child,None,
19,Holyrood Causeway,Valerie,Berry,32.0,Head,Married,Female,Meteorologist,None,Sikh
19,Holyrood Causeway,Samuel,Owen,35.0,Husband,Married,Male,Higher education careers adviser,None,Sikh
19,Holyrood Causeway,Paul,Berry,15.0,Son,,Male,Student,None,
19,Holyrood Causeway,Alison,Berry,12.0,Daughter,,Female,Student,Physical Disability,
19,Holyrood Causeway,Dylan,Berry,4.0,Son,,Male,Child,None,
19,Holyrood Causeway,Leonard,Berry,2.0,Son,,Male,Child,None,
19,Holyrood Causeway,Irene,Roberts,40.0,Lodger,Divorced,Female,Water quality scientist,None,None
20,Holyrood Causeway,Jacqueline,Birch,36.0,Head,Single,Female,Cytogeneticist,None,Catholic
20,Holyrood Causeway,Linda,Birch,11.0,Daughter,,Female,Student,None,
20,Holyrood Causeway,Cheryl,Birch,8.0,Daughter,,Female,Student,None,
20,Holyrood Causeway,Melissa,Birch,8.0,Daughter,,Female,Student,None,
20,Holyrood Causeway,Hollie,Birch,7.0,Daughter,,Female,Student,None,
21,Holyrood Causeway,Darren,Quinn,44.0,Head,Single,Male,Unemployed,None,None
21,Holyrood Causeway,Graeme,Stokes,21.0,Step-Son,Single,Male,University Student,None,None
21,Holyrood Causeway,John,Stokes,18.0,Step-Son,Single,Male,Student,None,None
21,Holyrood Causeway,Claire,Stokes,14.0,Step-Daughter,,Female,Student,None,
21,Holyrood Causeway,Paul,Stokes,13.0,Step-Son,,Male,Student,None,
22,Holyrood Causeway,Grace,Greenwood,29.0,Head,Married,Female,Legal secretary,None,None
22,Holyrood Causeway,Dennis,Greenwood,28.0,Husband,Married,Male,Architectural technologist,None,None
22,Holyrood Causeway,Lee,Greenwood,8.0,Son,,Male,Student,None,
22,Holyrood Causeway,Rhys,Greenwood,7.0,Son,,Male,Student,None,
22,Holyrood Causeway,Kimberley,Greenwood,2.0,Daughter,,Female,Child,None,
23,Holyrood Causeway,Jenna,Bailey,36.0,Head,Married,Female,Tree surgeon,None,None
23,Holyrood Causeway,Raymond,Bailey,37.0,Husband,Married,Male,"Development worker, community",None,None
23,Holyrood Causeway,Terence,Bailey,20.0,Son,Single,Male,IT consultant,None,None
23,Holyrood Causeway,Ashley,Bailey,16.0,Son,,Male,Student,None,
23,Holyrood Causeway,Georgina,Davies,10.0,Daughter,,Female,Student,None,
24,Holyrood Causeway,Jessica,Ali,32.0,Head,Married,Female,Optometrist,None,Christian
24,Holyrood Causeway,Connor,Ali,34.0,Husband,Married,Male,Tax adviser,None,Christian
24,Holyrood Causeway,Arthur,Ali,0.0,Son,,Male,Child,None,
24,Holyrood Causeway,Bethany,Brown,23.0,Lodger,Single,Female,Unemployed,None,None
24,Holyrood Causeway,Wayne,Mitchell,61.0,Lodger,Single,Male,"Biochemist, clinical",None,Christian
24,Holyrood Causeway,Callum,Buckley,63.0,Lodger,Single,Male,Theme park manager,None,Christian
1,Copper Stravenue,Joanne,Hicks,26.0,Head,Single,Female,"Research officer, political party",None,None
2,Copper Stravenue,Malcolm,Day,58.0,Head,Single,Male,"Therapist, occupational",None,Catholic
2,Copper Stravenue,Paula,Dixon,61.0,Partner,Single,Female,Management consultant,None,Catholic
3,Copper Stravenue,Abigail,Wheeler,82.0,Head,Widowed,Female,"Retired Surveyor, planning and development",None,Methodist
4,Copper Stravenue,Paul,McDonald,44.0,Head,Single,Male,Mudlogger,None,None
5,Copper Stravenue,Grace,Davidson,88.0,Head,Single,Female,"Retired Administrator, local government",None,Christian
6,Copper Stravenue,Jemma,Holmes,86.0,Head,Widowed,Female,Retired Glass blower/designer,None,None
7,Copper Stravenue,Jodie,Begum,53.0,Head,Widowed,Female,Data processing manager,None,Methodist
7,Copper Stravenue,Norman,Begum,11.0,Son,,Male,Student,None,
8,Copper Stravenue,Maurice,Powell,26.0,Head,Single,Male,Fashion designer,None,None
9,Copper Stravenue,Elliot,Johnson,71.0,Head,Widowed,Male,Retired Charity officer,None,None
10,Copper Stravenue,Denise,Jones,61.0,Head,Single,Female,Sales promotion account executive,None,None
11,Copper Stravenue,Hayley,Potts,36.0,Head,Single,Female,"Therapist, music",None,Methodist
12,Copper Stravenue,Lee,Pearce,60.0,Head,Single,Male,Unemployed,None,None
13,Copper Stravenue,Allan,Richards,36.0,Head,Single,Male,"Scientist, research (physical sciences)",None,Christian
14,Copper Stravenue,Sian,Randall,32.0,Head,Single,Female,Clinical research associate,None,Christian
14,Copper Stravenue,Robert,Walker,31.0,Partner,Single,Male,Insurance risk surveyor,None,Christian
15,Copper Stravenue,Abbie,Gibbons,40.0,Head,Single,Female,Toxicologist,None,Catholic
16,Copper Stravenue,Sally,Williams,38.0,Head,Married,Female,Building services engineer,Blind,None
16,Copper Stravenue,Oliver,Williams,45.0,Husband,Married,Male,"Radiographer, diagnostic",None,None
16,Copper Stravenue,Amelia,Williams,7.0,Daughter,,Female,Student,None,
17,Copper Stravenue,Melanie,Roberts,20.0,Head,Single,Female,University Student,None,Catholic
17,Copper Stravenue,Sandra,Storey,19.0,None,Single,Female,University Student,None,Christian
17,Copper Stravenue,Jamie,French,20.0,None,Single,Male,University Student,None,Methodist
18,Copper Stravenue,Tracy,Sutton,75.0,Head,Widowed,Female,Retired Firefighter,None,Christian
19,Copper Stravenue,Abigail,Green,100.0,Head,Widowed,Female,Retired Systems analyst,None,Christian
20,Copper Stravenue,Edward,Carr,25.0,Head,Single,Male,Unemployed,None,Christian
21,Copper Stravenue,Samuel,Fitzgerald,66.0,Head,Single,Male,Haematologist,None,None
22,Copper Stravenue,Arthur,Murphy,34.0,Head,Single,Male,"Doctor, hospital",None,Christian
23,Copper Stravenue,Natalie,Morton,39.0,Head,Married,Female,Retail buyer,None,Christian
23,Copper Stravenue,Mathew,Morton,38.0,Husband,Married,Male,Musician,None,None
24,Copper Stravenue,Pamela,Robinson,51.0,Head,Single,Female,Unemployed,None,None
24,Copper Stravenue,Josh,Robinson,16.0,Son,,Male,Student,None,
24,Copper Stravenue,Samantha,Robinson,16.0,Daughter,,Female,Student,None,
25,Copper Stravenue,Hilary,Stanley,53.0,Head,Single,Female,Professor Emeritus,None,Christian
26,Copper Stravenue,Georgina,Wilkinson,72.0,Head,Widowed,Female,"Retired Designer, furniture",None,Christian
27,Copper Stravenue,Lisa,Khan,25.0,Head,Married,Female,"Engineer, materials",None,Methodist
27,Copper Stravenue,Guy,Khan,26.0,Husband,Married,Male,"Engineer, manufacturing",None,Methodist
28,Copper Stravenue,June,Gould,72.0,Head,Divorced,Female,"Retired Psychologist, counselling",None,None
29,Copper Stravenue,Julia,Powell,39.0,Head,Divorced,Female,"Therapist, speech and language",None,Methodist
30,Copper Stravenue,Patrick,Elliott,39.0,Head,Married,Male,Camera operator,None,Catholic
30,Copper Stravenue,Christine,Elliott,38.0,Wife,Married,Female,Aeronautical engineer,None,Catholic
31,Copper Stravenue,Fiona,Palmer,25.0,Head,Divorced,Female,Toxicologist,None,None
32,Copper Stravenue,Nicole,Walker,37.0,Head,Single,Female,Product/process development scientist,None,Muslim
33,Copper Stravenue,Robert,Green,42.0,Head,Married,Male,Insurance account manager,None,Catholic
33,Copper Stravenue,Rosemary,Green,37.0,Wife,Married,Female,Surgeon,None,None
34,Copper Stravenue,Darren,Moore,45.0,Head,Single,Male,Estate manager/land agent,None,None
35,Copper Stravenue,Julie,Parry,64.0,Head,Single,Female,Unemployed,None,Christian
36,Copper Stravenue,Nicola,Akhtar,52.0,Head,Married,Female,Amenity horticulturist,None,Christian
36,Copper Stravenue,Jason,Akhtar,54.0,Husband,Married,Male,Personal assistant,None,Christian
37,Copper Stravenue,Rosemary,Farmer,73.0,Head,Widowed,Female,"Retired Teacher, English as a foreign language",None,Muslim
38,Copper Stravenue,Garry,Bennett,36.0,Head,Married,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Catholic
38,Copper Stravenue,Beth,Bennett,40.0,Wife,Married,Female,"Chemist, analytical",None,Catholic
39,Copper Stravenue,Alexandra,Vincent,47.0,Head,Divorced,Female,"Psychologist, educational",None,Christian
39,Copper Stravenue,Shane,Vincent,15.0,Son,,Male,Student,None,
39,Copper Stravenue,Alexander,Vincent,14.0,Son,,Male,Student,None,
40,Copper Stravenue,Glenn,Taylor,43.0,Head,Widowed,Male,Hospital doctor,None,Catholic
41,Copper Stravenue,Cheryl,Davies,73.0,Head,Divorced,Female,Retired Aid worker,None,Catholic
42,Copper Stravenue,Jake,Manning,82.0,Head,Divorced,Male,Retired Phytotherapist,None,Christian
43,Copper Stravenue,Heather,Gray,22.0,Head,Single,Female,University Student,None,Methodist
44,Copper Stravenue,Catherine,Allen,56.0,Head,Widowed,Female,"Research officer, government",None,None
45,Copper Stravenue,Holly,Wilson,84.0,Head,Widowed,Female,"Retired Embryologist, clinical",None,Christian
46,Copper Stravenue,Ronald,Davidson,51.0,Head,Married,Male,Quarry manager,None,Christian
46,Copper Stravenue,Carolyn,Davidson,49.0,Wife,Married,Female,Exhibition designer,None,Christian
47,Copper Stravenue,Amber,Bentley,54.0,Head,Single,Female,"Designer, exhibition/display",None,None
48,Copper Stravenue,Chelsea,Hunter,60.0,Head,Single,Female,Unemployed,None,Christian
48,Copper Stravenue,Mary,Richardson,39.0,None,Single,Female,Freight forwarder,None,Christian
48,Copper Stravenue,Jason,Robinson,39.0,None,Single,Male,Patent attorney,None,Christian
49,Copper Stravenue,Joseph,Allan,66.0,Head,Widowed,Male,Meteorologist,None,None
50,Copper Stravenue,Alex,Barrett,83.0,Head,Widowed,Male,"Retired Education officer, environmental",None,Christian
51,Copper Stravenue,Joanne,Kent,37.0,Head,Divorced,Female,Product/process development scientist,None,None
52,Copper Stravenue,Lindsey,Craig,30.0,Head,Married,Female,"Pharmacist, hospital",None,Christian
52,Copper Stravenue,Callum,Craig,32.0,Husband,Married,Male,Bookseller,None,Christian
52,Copper Stravenue,Keith,Craig,13.0,Son,,Male,Student,None,
53,Copper Stravenue,Heather,Stevens,42.0,Head,Single,Female,Environmental health practitioner,None,None
54,Copper Stravenue,Karl,Oliver,43.0,Head,Single,Male,Applications developer,None,Christian
55,Copper Stravenue,Alexandra,Webb,34.0,Head,Single,Female,Actor,None,Muslim
56,Copper Stravenue,Denise,Palmer,42.0,Head,Single,Female,Retail manager,None,Catholic
56,Copper Stravenue,Eileen,Palmer,8.0,Daughter,,Female,Student,None,
57,Copper Stravenue,Rosemary,Barrett,53.0,Head,Divorced,Female,Ecologist,None,Christian
58,Copper Stravenue,Francesca,Dickinson,37.0,Head,Single,Female,Catering manager,None,None
59,Copper Stravenue,Clifford,Anderson,29.0,Head,Single,Male,Actor,None,None
1,Howell Rapid,Rachael,Howard,73.0,Head,Divorced,Female,Retired Banker,None,None
2,Howell Rapid,Aaron,Yates,63.0,Head,Married,Male,Unemployed,None,None
2,Howell Rapid,Alice,Yates,68.0,Wife,Married,Female,Retired Multimedia programmer,None,None
2,Howell Rapid,Catherine,Yates,7.0,Granddaughter,,Female,Student,None,
2,Howell Rapid,Sam,Gregory,3.0,Grandson,,Male,Child,None,
3,Howell Rapid,Lindsey,Hall,73.0,Head,Widowed,Female,Retired Dentist,None,Christian
3,Howell Rapid,Max,Hall,42.0,Son,Single,Male,Corporate treasurer,None,Christian
3,Howell Rapid,Lindsey,Hall,41.0,Daughter,Single,Female,Patent examiner,None,Christian
3,Howell Rapid,Guy,Hall,40.0,Son,Divorced,Male,Recycling officer,None,Christian
4,Howell Rapid,Louise,Armstrong,44.0,Head,Single,Female,Music therapist,None,Catholic
5,Howell Rapid,Kyle,Young,33.0,Head,Single,Male,Claims inspector/assessor,None,Muslim
5,Howell Rapid,Kayleigh,Anderson,47.0,None,Single,Female,Chief Executive Officer,None,None
5,Howell Rapid,Rachel,Hill,41.0,None,Single,Female,"Accountant, chartered public finance",None,Christian
5,Howell Rapid,Ricky,Howe,37.0,None,Single,Male,"Accountant, chartered management",None,None
6,Howell Rapid,Rita,Wyatt,41.0,Head,Married,Female,Fish farm manager,None,Catholic
6,Howell Rapid,Abdul,Wyatt,43.0,Husband,Married,Male,Outdoor activities/education manager,None,Catholic
6,Howell Rapid,Jacqueline,Wyatt,21.0,Daughter,Single,Female,University Student,None,Catholic
6,Howell Rapid,Molly,Wyatt,2.0,Daughter,,Female,Child,None,
7,Howell Rapid,Kathryn,Watson,31.0,Head,Single,Female,Fashion designer,None,Christian
7,Howell Rapid,Brett,Watson,5.0,Son,,Male,Student,None,
7,Howell Rapid,Alice,Watson,3.0,Daughter,,Female,Child,None,
7,Howell Rapid,Katie,Watson,2.0,Daughter,,Female,Child,None,
8,Howell Rapid,Melissa,Ward,21.0,Head,Single,Female,University Student,None,None
8,Howell Rapid,Craig,Ward,3.0,Son,,Male,Child,None,
8,Howell Rapid,Jason,Ward,0.0,Son,,Male,Child,None,
8,Howell Rapid,Stuart,Jones,43.0,Lodger,Single,Male,Horticultural consultant,None,None
9,Howell Rapid,Mohammad,Moore,53.0,Head,Married,Male,Industrial buyer,None,Christian
9,Howell Rapid,Jean,Moore,50.0,Wife,Married,Female,Unemployed,None,Christian
9,Howell Rapid,Clive,Moore,15.0,Son,,Male,Student,None,
9,Howell Rapid,Robin,Moore,15.0,Son,,Male,Student,None,
10,Howell Rapid,Roy,Carroll,25.0,Head,Single,Male,PhD Student,None,Christian
10,Howell Rapid,Lucy,Ford,22.0,None,Single,Female,University Student,None,None
10,Howell Rapid,Eric,Jones,21.0,None,Single,Male,University Student,None,Catholic
11,Howell Rapid,Cheryl,Edwards,30.0,Head,Single,Female,Osteopath,None,None
12,Howell Rapid,Darren,Simpson,20.0,Head,Married,Male,Unemployed,None,None
12,Howell Rapid,Valerie,Simpson,20.0,Wife,Married,Female,University Student,None,None
13,Howell Rapid,Jasmine,Clarke,42.0,Head,Married,Female,Energy engineer,None,None
13,Howell Rapid,Jeremy,Clarke,44.0,Husband,Married,Male,Statistician,None,None
13,Howell Rapid,Rebecca,Clarke,5.0,Daughter,,Female,Student,None,
13,Howell Rapid,Benjamin,Clarke,2.0,Son,,Male,Child,None,
13,Howell Rapid,Margaret,Hayes,29.0,Lodger,Divorced,Female,Museum education officer,None,None
13,Howell Rapid,Ann,Field,25.0,Lodger,Divorced,Female,"Research officer, trade union",None,None
14,Howell Rapid,Kirsty,Taylor,63.0,Head,Single,Female,Futures trader,None,Christian
14,Howell Rapid,Mandy,Taylor,36.0,Daughter,Single,Female,Teaching laboratory technician,None,None
14,Howell Rapid,Joanne,Taylor,33.0,Daughter,Single,Female,"Physicist, medical",None,None
14,Howell Rapid,Kelly,Taylor,32.0,Daughter,Single,Female,Unemployed,None,Christian
14,Howell Rapid,Matthew,Taylor,30.0,Son,Divorced,Male,Unemployed,None,Christian
15,Howell Rapid,Marcus,Wood,53.0,Head,Single,Male,Data scientist,None,Christian
15,Howell Rapid,Jacqueline,Rhodes,49.0,Partner,Single,Female,Geophysicist/field seismologist,None,Christian
15,Howell Rapid,Max,Wood,25.0,Son,Single,Male,Interior and spatial designer,None,None
15,Howell Rapid,Paula,Butler-Wood,0.0,Daughter,,Female,Child,None,
16,Howell Rapid,Hannah,Thompson,22.0,Head,Divorced,Female,University Student,None,Sikh
17,Howell Rapid,Kevin,Willis,54.0,Head,Single,Male,Legal secretary,None,None
18,Howell Rapid,Josh,Bowen,34.0,Head,Single,Male,Civil Service administrator,None,None
18,Howell Rapid,Oliver,Dodd,33.0,None,Single,Male,Unemployed,None,Methodist
18,Howell Rapid,Craig,Dixon,52.0,None,Single,Male,Fashion designer,None,None
18,Howell Rapid,Paige,Daniels,44.0,None,Single,Female,Equities trader,None,None
18,Howell Rapid,Mark,Brown,26.0,None,Single,Male,Glass blower/designer,None,Muslim
18,Howell Rapid,Amanda,Green,47.0,None,Single,Female,Warehouse manager,None,Catholic
19,Howell Rapid,Lesley,Fletcher,37.0,Head,Married,Female,Food technologist,None,Catholic
19,Howell Rapid,Julian,Fletcher,39.0,Husband,Married,Male,Arboriculturist,None,Catholic
19,Howell Rapid,Frank,Fletcher,23.0,Son,Single,Male,Unemployed,None,Catholic
19,Howell Rapid,Ryan,Farrell-Fletcher,22.0,Son,Single,Male,University Student,None,Catholic
20,Howell Rapid,Rebecca,Jones,66.0,Head,Married,Female,Agricultural consultant,None,Methodist
20,Howell Rapid,Callum,Jones,68.0,Husband,Married,Male,Retired Aeronautical engineer,None,None
20,Howell Rapid,Charlene,Jones,24.0,Daughter,Single,Female,Fisheries officer,None,None
20,Howell Rapid,Stephen,Jones,22.0,Son,Divorced,Male,University Student,None,None
20,Howell Rapid,Yvonne,Jones,18.0,Daughter,Divorced,Female,Student,None,None
20,Howell Rapid,Lisa,Wilkinson-Jones,17.0,Daughter,,Female,Student,None,
1,Page Glens,Stephen,Robinson,62.0,Head,Married,Male,Outdoor activities/education manager,None,Catholic
1,Page Glens,Eileen,Robinson,61.0,Wife,Married,Female,Barista,None,Catholic
2,Page Glens,Andrew,Kelly,20.0,Head,Single,Male,University Student,None,None
2,Page Glens,Clare,Smith,19.0,None,Single,Female,University Student,None,Methodist
2,Page Glens,Melanie,Payne,20.0,None,Single,Female,University Student,None,None
2,Page Glens,Kathryn,Hilton,19.0,None,Single,Female,University Student,None,Methodist
3,Page Glens,Gillian,Davies,64.0,Head,Married,Female,Housing manager/officer,None,Christian
3,Page Glens,Aaron,Davies,65.0,Husband,Married,Male,Sports administrator,None,None
3,Page Glens,Alice,Davies,35.0,Daughter,Single,Female,"Psychologist, clinical",None,Christian
4,Page Glens,Justin,Holland,59.0,Head,Single,Male,"Biochemist, clinical",None,Christian
4,Page Glens,Mark,Hope,52.0,None,Single,Male,Office manager,None,Methodist
4,Page Glens,Sandra,Yates,48.0,None,Single,Female,"Designer, industrial/product",None,None
5,Page Glens,Vincent,Clark,49.0,Head,Single,Male,Horticultural consultant,None,Catholic
5,Page Glens,Brenda,Houghton,43.0,None,Single,Female,"Scientist, physiological",None,None
5,Page Glens,Dean,Gray,25.0,None,Single,Male,Unemployed,None,None
6,Page Glens,Alison,Taylor,60.0,Head,Married,Female,Midwife,None,Christian
6,Page Glens,Ian,Taylor,62.0,Husband,Married,Male,Unemployed,None,Christian
6,Page Glens,Garry,Taylor,29.0,Son,Single,Male,Barrister,None,Christian
6,Page Glens,Sylvia,Taylor,27.0,Daughter,Single,Female,"Accountant, chartered",None,Christian
7,Page Glens,Reece,Roberts,45.0,Head,Single,Male,Air broker,None,Christian
7,Page Glens,Brenda,Jones,36.0,None,Single,Female,Forest/woodland manager,None,None
1,Queen Lane,Albert,Smith,84.0,Head,Married,Male,Retired Academic librarian,None,None
1,Queen Lane,Leah,Smith,84.0,Wife,Married,Female,Retired Airline pilot,None,None
2,Queen Lane,Victoria,Slater,68.0,Head,Widowed,Female,"Retired Civil engineer, consulting",None,Christian
3,Queen Lane,Abigail,Bennett,52.0,Head,Married,Female,Prison officer,None,None
3,Queen Lane,Joshua,Bennett,53.0,Husband,Married,Male,Editorial assistant,None,None
3,Queen Lane,Kerry,Bennett,25.0,Daughter,Single,Female,Industrial/product designer,None,None
3,Queen Lane,Darren,Bennett,23.0,Son,Single,Male,Museum/gallery conservator,None,None
4,Queen Lane,Claire,Ford,61.0,Head,Single,Female,"Designer, multimedia",None,None
4,Queen Lane,Joe,Jones,69.0,Partner,Single,Male,Retired Soil scientist,None,None
4,Queen Lane,Debra,Ford,25.0,Daughter,Single,Female,Armed forces technical officer,None,None
4,Queen Lane,Paula,Ford,21.0,Daughter,Divorced,Female,University Student,None,None
4,Queen Lane,Dale,Ford,1.0,Son,,Male,Child,None,
5,Queen Lane,Debra,Moss,47.0,Head,Single,Female,Government social research officer,Blind,Catholic
5,Queen Lane,Louise,Moss,1.0,Daughter,,Female,Child,None,
6,Queen Lane,Harriet,Lowe,52.0,Head,Single,Female,General practice doctor,None,Christian
6,Queen Lane,Charles,Bolton,61.0,None,Single,Male,Agricultural engineer,None,Catholic
6,Queen Lane,Abdul,O'Connor,53.0,None,Single,Male,"Teacher, adult education",None,Christian
6,Queen Lane,Mathew,Lane,61.0,None,Single,Male,Optometrist,None,None
7,Queen Lane,Sharon,Bailey,44.0,Head,Married,Female,Chartered public finance accountant,None,Christian
7,Queen Lane,Reece,Bailey,46.0,Husband,Married,Male,Secretary/administrator,None,Christian
7,Queen Lane,Stanley,Bailey,19.0,Son,Single,Male,University Student,None,None
7,Queen Lane,Kayleigh,Bailey,18.0,Adopted Daughter,Single,Female,Student,None,None
8,Queen Lane,Katherine,Robinson,56.0,Head,Single,Female,"Lighting technician, broadcasting/film/video",None,Christian
8,Queen Lane,Julian,Sutton,61.0,Partner,Single,Male,"Designer, furniture",None,Christian
9,Queen Lane,Ellie,Barnett,62.0,Head,Married,Female,Manufacturing engineer,None,None
9,Queen Lane,Lewis,Barnett,68.0,Husband,Married,Male,Retired Advertising copywriter,None,None
9,Queen Lane,Peter,Barnett,23.0,Son,Single,Male,Furniture designer,None,None
9,Queen Lane,Shirley,Barnett,21.0,Daughter,Single,Female,University Student,None,None
9,Queen Lane,Ann,Barnett,11.0,Daughter,,Female,Student,None,
10,Queen Lane,Nicola,Taylor,55.0,Head,Single,Female,Geochemist,None,None
10,Queen Lane,Howard,Taylor,38.0,Son,Divorced,Male,Colour technologist,None,None
10,Queen Lane,Elaine,Taylor,35.0,Daughter,Divorced,Female,Medical technical officer,None,None
10,Queen Lane,Bernard,Taylor,28.0,Son,Single,Male,Phytotherapist,None,None
11,Queen Lane,Jemma,Iqbal,41.0,Head,Single,Female,Trade mark attorney,None,Catholic
11,Queen Lane,Lorraine,Morris-Iqbal,2.0,Daughter,,Female,Child,None,
11,Queen Lane,Charlotte,Clark,0.0,Daughter,,Female,Child,None,
12,Queen Lane,Kathryn,Taylor,31.0,Head,Divorced,Female,Publishing copy,None,Muslim
12,Queen Lane,Emma,Taylor,5.0,Daughter,,Female,Student,None,
13,Queen Lane,Dale,Mitchell,51.0,Head,Single,Male,Armed forces technical officer,None,None
13,Queen Lane,Harriet,Davies,51.0,Partner,Single,Female,Wellsite geologist,None,None
13,Queen Lane,Angela,Mitchell,13.0,Daughter,,Female,Student,None,
13,Queen Lane,Elliot,Bevan-Mitchell,11.0,Son,,Male,Student,None,
14,Queen Lane,Donna,Edwards,42.0,Head,Married,Female,"Research officer, trade union",None,Catholic
14,Queen Lane,Alan,Edwards,44.0,Husband,Married,Male,"Surveyor, mining",None,Catholic
14,Queen Lane,Anthony,Edwards,23.0,Son,Single,Male,Scientific laboratory technician,None,None
14,Queen Lane,Annette,Edwards,17.0,Daughter,,Female,Student,None,
15,Queen Lane,Bradley,Lewis,55.0,Head,Married,Male,Recycling officer,None,Christian
15,Queen Lane,Elaine,Lewis,54.0,Wife,Married,Female,"Designer, textile",None,Christian
15,Queen Lane,Donald,Lewis,29.0,Son,Divorced,Male,Audiological scientist,None,None
15,Queen Lane,Thomas,Williams,26.0,Son,Single,Male,Unemployed,None,Christian
15,Queen Lane,Glen,Robinson-Williams,25.0,Son,Single,Male,Chief of Staff,None,None
16,Queen Lane,Judith,Murphy,39.0,Head,Married,Female,Clinical molecular geneticist,None,Catholic
16,Queen Lane,Leon,Watson,41.0,Husband,Married,Male,Materials engineer,None,Catholic
16,Queen Lane,Caroline,Murphy,16.0,Daughter,,Female,Student,Blind,
16,Queen Lane,Paula,Murphy,13.0,Daughter,,Female,Student,None,
17,Queen Lane,Laura,Watson,28.0,Head,Divorced,Female,Unemployed,None,Muslim
17,Queen Lane,Shaun,Watson,0.0,Son,,Male,Child,None,
17,Queen Lane,Jacob,Allen,37.0,Lodger,Single,Male,Dealer,None,None
17,Queen Lane,Debra,Martin,62.0,Lodger,Divorced,Female,Visual merchandiser,None,None
17,Queen Lane,Janet,Bradley,40.0,Lodger,Single,Female,Arts administrator,None,Christian
17,Queen Lane,George,Marshall,62.0,Lodger,Single,Male,Media planner,None,Christian
17,Queen Lane,Vincent,Johnson,62.0,Sibling,Single,Male,Tour manager,None,Christian
18,Queen Lane,Katie,Roberts,55.0,Head,Married,Female,Sports coach,None,Methodist
18,Queen Lane,Keith,Roberts,57.0,Husband,Married,Male,Set designer,None,Methodist
18,Queen Lane,Ben,Roberts,17.0,Son,,Male,Student,None,
18,Queen Lane,Fiona,Roberts,13.0,Daughter,,Female,Student,None,
19,Queen Lane,Sarah,Wilkinson,26.0,Head,Single,Female,"Surveyor, minerals",None,Christian
1,Smith Avenue,Frances,Thomas,38.0,Head,Married,Female,Textile designer,None,Catholic
1,Smith Avenue,Colin,Thomas,40.0,Husband,Married,Male,Licensed conveyancer,None,None
1,Smith Avenue,Wayne,Thomas,15.0,Son,,Male,Student,None,
1,Smith Avenue,Oliver,Thomas,15.0,Son,,Male,Student,None,
1,Smith Avenue,Melissa,Lawrence-Thomas,15.0,Daughter,,Female,Student,None,
2,Smith Avenue,Diana,Clark,65.0,Head,Single,Female,"Editor, commissioning",None,Catholic
2,Smith Avenue,Bradley,Davies,67.0,Partner,Single,Male,"Producer, television/film/video",None,Catholic
2,Smith Avenue,Michelle,Clark,23.0,Daughter,Single,Female,Fashion designer,None,None
2,Smith Avenue,Henry,Clark,19.0,Son,Divorced,Male,University Student,None,Catholic
2,Smith Avenue,Roy,Clark,17.0,Son,,Male,Student,None,
3,Smith Avenue,Sandra,Smith,64.0,Head,Married,Female,"Physicist, medical",None,Christian
3,Smith Avenue,Alan,Smith,66.0,Husband,Married,Male,Health and safety inspector,None,Christian
3,Smith Avenue,Eleanor,Smith,37.0,Daughter,Divorced,Female,"Editor, film/video",None,None
3,Smith Avenue,Rhys,Smith,36.0,Son,Single,Male,"Teacher, secondary school",None,Christian
3,Smith Avenue,Rita,Smith,34.0,Daughter,Single,Female,Unemployed,None,None
4,Smith Avenue,Victoria,Marsden,59.0,Head,Single,Female,Office manager,None,Christian
4,Smith Avenue,Molly,Lewis,51.0,None,Single,Female,Firefighter,None,Catholic
4,Smith Avenue,Albert,Gordon,57.0,None,Single,Male,"Engineer, civil (contracting)",None,Christian
4,Smith Avenue,Tom,Stokes,19.0,None,Single,Male,University Student,None,None
4,Smith Avenue,Chelsea,Hartley,64.0,None,Single,Female,Jewellery designer,None,None
5,Smith Avenue,Molly,Jones,67.0,Head,Married,Female,Arts development officer,None,Christian
5,Smith Avenue,Norman,Jones,70.0,Husband,Married,Male,Retired Hydrographic surveyor,None,Christian
6,Smith Avenue,Amanda,Smith,49.0,Head,Single,Female,Unemployed,None,Catholic
6,Smith Avenue,Cameron,Smith,21.0,Son,Single,Male,University Student,None,None
6,Smith Avenue,Sarah,Smith,21.0,Daughter,Single,Female,University Student,None,None
6,Smith Avenue,Abdul,Smith,16.0,Son,,Male,Student,None,
6,Smith Avenue,Dale,Smith,15.0,Son,,Male,Student,None,
6,Smith Avenue,Sara,Smith,12.0,Daughter,,Female,Student,None,
6,Smith Avenue,Bethany,Smith,11.0,Daughter,,Female,Student,None,
6,Smith Avenue,Justin,Smith,9.0,Son,,Male,Student,None,
6,Smith Avenue,Iain,Smith,5.0,Son,,Male,Student,None,
6,Smith Avenue,Heather,Smith,2.0,Daughter,,Female,Child,None,
6,Smith Avenue,Gregory,Smith,0.0,Son,,Male,Child,None,
7,Smith Avenue,Holly,Moore,27.0,Head,Married,Female,"Programmer, multimedia",None,None
7,Smith Avenue,Bradley,Moore,28.0,Husband,Married,Male,Race relations officer,None,None
